6766,2164,70,Symmetrical,1
6767,2165,70,Asymmetry,1
6768,2166,70,Asymmetrical,1
6769,2167,69,Palliate,1
6770,2168,69,Palliative,1
6771,2169,69,Palliation,1
6772,2170,69,Inform,1
6773,2171,69,Informed,1
6774,2172,69,Erupt,1
6775,2173,69,Eruption,1
6776,2174,69,Cramp,1
6777,2175,69,Cramping,1
6778,2176,69,Attach,1
6779,2177,69,Attachment,1
6780,2178,68,Silent,1
6781,2179,68,Silence,1
6782,2180,68,Plain,1
6783,2181,68,Error,1
6784,2182,68,Erroneous,1
6785,2183,68,Create,1
6786,2184,68,Created,1
6787,2185,68,Creative,1
6788,2186,68,Creativity,1
6789,2187,68,Recreate,1
6790,2188,68,Recreational,1
6791,2189,68,Recreation,1
6792,2190,68,Blind,1
6793,2191,68,Blindness,1
6794,2192,67,Thirst,1
6795,2193,67,Thirsty,1
6796,2194,67,Regress,1
6797,2195,67,Regressive,1
6798,2196,67,Regression,1
6799,2197,67,Patch,1
6800,2198,67,Patchy,1
6801,2199,67,Murmur,1
6802,2200,67,Era,1
6803,2201,67,Digit,1
6804,2202,67,Digital,1
6805,2203,67,Cautious,1
6806,2204,67,Cautiously,1
6807,2205,67,Caution,1
6808,2206,67,Precautious,1
6809,2207,67,Precaution,1
6810,2208,66,Stiff,1
6811,2209,66,Stiffly,1
6812,2210,66,Stiffness,1
6813,2211,66,Staff,1
6814,2212,66,Stuff,1
6815,2213,66,Stuffing,1
6816,2214,66,Stuffiness,1
6817,2215,66,Stuffer,1
6818,2216,66,Serve,1
6819,2217,66,Service,1
6820,2218,66,Scalp,1
6821,2219,66,Repeat,1
6822,2220,66,Repetitive,1
6823,2221,66,Repetition,1
6824,2222,66,Exact,1
6825,2223,66,Exactly,1
6826,2224,66,Emerge,1
6827,2225,66,Emergence,1
6828,2226,66,Efficient,1
6829,2227,66,Efficiently,1
6830,2228,66,Efficiency,1
6831,2229,66,Efficacy,1
6832,2230,66,Amplify,1
6833,2231,66,Amplification,1
6834,2232,65,Peep,1
6835,2233,65,Parallel,1
6836,2234,65,Mosquito,1
6837,2235,65,Insert,1
6838,2236,65,Insertion,1
6839,2237,65,Gait,1
6840,2238,65,Escape,1
6841,2239,65,Chill,1
6842,2240,65,Bearing,1
6843,2241,65,Appreciate,1
6844,2242,65,Appreciable,1
6845,2243,65,Appreciation,1
6846,2244,65,Ambulatory,1
6847,2245,64,Tool,1
6848,2246,64,Spare,1
6849,2247,64,Sparing,1
6850,2248,64,Sharp,1
6851,2249,64,Sharply,1
6852,2250,64,Sediment,1
6853,2251,64,Sedimentation,1
6854,2252,64,Retrograde,1
6855,2253,64,Retrogradely,1
6856,2254,64,Resuscitate,1
6857,2255,64,Resuscitation,1
6858,2256,64,Power,1
6859,2257,64,Powerful,1
6860,2258,64,Partner,1
6861,2259,64,Modality,1
6862,2260,64,Indolent,1
6863,2261,64,Indolence,1
6864,2262,64,Facilitate,1
6865,2263,64,Facilitation,1
6866,2264,64,Facility,1
6867,2265,64,Attenuate,1
6868,2266,64,Attenuation,1
6869,2267,64,Ala,1
6870,2268,64,Afferent,1
6871,2269,63,Urgent,1
6872,2270,63,Urgency,1
6873,2271,63,Thorough,1
6874,2272,63,Thoroughly,1
6875,2273,63,Statistical,1
6876,2274,63,Statistically,1
6877,2275,63,Statistics,1
6878,2276,63,Receptive,1
6879,2277,63,Receptively,1
6880,2278,63,Recipient,1
6881,2279,63,Reception,1
6882,2280,63,Receptor,1
6883,2281,63,Offer,1
6884,2282,62,Swallow,1
6885,2283,62,Pad,1
6886,2284,62,Mandatory,1
